Subwatershed,Site Name,Prefix,Horizon,Suffix,Top (cm),Bottom (cm),Horizon Depth (cm),Color,Hue,Value,Chroma,Total Depth,Bottom Interface,Notes,
86,R460C10,,BC,,75,-,,10YR 3/6,10YR,3,6,76,RF,E and Bhs1 very thin,
86,R460C12,,Oi,,0,5,5,,,,,60,RF,,
86,R460C12,,Oe,,5,11,6,,,,,60,RF,,
86,R460C12,,Oa,,11,20,9,7.5YR 2.5/1,7.5YR,2.5,1,60,RF,,
86,R460C12,,Bh,,20,54,34,10YR 3/2,10YR,3,2,60,RF,,
86,R460C12,,BC,,54,-,,10YR 4/4,10YR,4,4,60,RF,"""I want a Monday kind of glove""",
86,R460C14,,Oi,,0,4,4,,,,,64,RF,,
86,R460C14,,Oe,,4,7,3,,,,,64,RF,,
86,R460C14,,Oa,,7,12,5,7.5YR 2.5/1,7.5YR,2.5,1,64,RF,,
86,R460C14,,E,,12,13,1,7.5YR 4/2,7.5YR,4,2,64,RF,,
86,R460C14,,Bhs,,13,14,1,5YR 2.5/2,5YR,2.5,2,64,RF,,
86,R460C14,,Bs,,14,48,34,7.5YR 3/4,7.5YR,3,4,64,RF,,
86,R460C14,,BC,,48,-,,10YR 4/4,10YR,4,4,64,RF,,
86,R460C16,,Oi,,0,3,3,,,,,77,C,,
86,R460C16,,Oe,,3,7,4,,,,,77,C,,
86,R460C16,,Oa,,7,23,16,7.5YR 2.5/1,7.5YR,2.5,1,77,C,,
86,R460C16,,Bhs,,23,30,7,7.5YR 2.5/1,7.5YR,2.5,1,77,C,,
86,R460C16,,Bs,,30,53,23,7.5YR 3/4,7.5YR,3,4,77,C,,
86,R460C16,,BC,,53,63,10,10YR 4/4,10YR,4,4,77,C,,
86,R460C16,,C,,63,-,,2.5Y 5/4,2.5Y,5,4,77,C,,
86,R458C14,,Oi,,0,4,,,,,,111,BCb'',,
86,R458C14,,Oe,,4,6,2,,,,,111,BCb'',,
86,R458C14,,Oa,,6,8,2,7.5YR 2.5/1,7.5YR,2.5,1,111,BCb'',,
86,R458C14,,Bhs,,8,15,7,7.5YR 3/3,7.5YR,3,3,111,BCb'',,
86,R458C14,,BC,,15,37,22,10YR 4/4,10YR,4,4,111,BCb'',,
86,R458C14,,Eb,,37,42,5,7.5YR 5/2,7.5YR,5,2,111,BCb'',,
86,R458C14,,BCb',,42,47,5,10YR 3/6,10YR,3,6,111,BCb'',,
86,R458C14,,Eb',,47,53,6,7.5YR 6/1,7.5YR,6,1,111,BCb'',,
86,R458C14,,Bsb,,53,100,47,7.5YR 4/4,7.5YR,4,4,111,BCb'',,
86,R458C14,,BCb'',,100,-,,10YR 3/4,10YR,3,4,111,BCb'',E pocket; very weird; never again,
86,R458C12,,Oi,,0,4,4,,,,,74,R,,
86,R458C12,,Oe,,4,9,5,,,,,74,R,,
86,R458C12,,Oa,,9,36,27,7.5YR 2.5/1,7.5YR,2.5,1,74,R,,
86,R458C12,,Bh,,36,54,18,10YR 3/4,10YR,3,4,74,R,,
86,R458C12,,BC,,54,74,20,10YR 4/4,10YR,4,4,74,R,"BC much sandier; ""stupid skeeters""",
86,R458C10,,Oi,,0,3,3,,,,,32,RF,,
86,R458C10,,Oe,,3,11,8,,,,,32,RF,,
86,R458C10,,Oa,,11,20,9,7.5YR 2.5/1,7.5YR,2.5,1,32,RF,,
86,R458C10,,E,,20,23,3,7.5YR 5/1,7.5YR,5,1,32,RF,,
86,R458C10,,Bhs,,23,26,3,7.5YR 2.5/2,7.5YR,2.5,2,32,RF,,
86,R458C10,,Bs,,26,-,,7.5YR 3/3,7.5YR,3,3,32,RF,Sun,
86,R458C8,,Oi,,0,4,4,,,,,62,C,,
86,R458C8,,Oe,,4,17,13,,,,,62,C,,
86,R458C8,,Oa,,17,33,16,7.5YR 2.5/1,7.5YR,2.5,1,62,C,,
86,R458C8,,Bhs,,33,47,14,7.5YR 2.5/2,7.5YR,2.5,2,62,C,,
86,R458C8,,Bs,,47,55,8,5YR 3/4,5YR,3,4,62,C,,
86,R458C8,,C,,55,-,,2.5Y 4/3,2.5Y,4,3,62,C,Sun,
86,R456C8,,Oi,,0,3,3,,,,,49,C,,
86,R456C8,,Oe,,3,6,3,,,,,49,C,,
86,R456C8,,Oa,,6,9,3,7.5YR 2.5/1,7.5YR,2.5,1,49,C,,
86,R456C8,,E,,9,12,3,5YR 7/1,5YR,7,1,49,C,,
86,R456C8,,Bhs,,12,16,4,5YR 2.5/1,5YR,2.5,1,49,C,,
86,R456C8,,Bs,,16,27,11,5YR 3/4,5YR,3,4,49,C,,
86,R456C8,,BC,,27,42,15,7.5YR 4/4,7.5YR,4,4,49,C,,
86,R456C8,,C,,42,-,,10YR 5/4,10YR,5,4,49,C,No sun,
86,R456C10,,Oi,,0,4,4,,,,,56,RF,,
86,R456C10,,Oe,,4,7,3,,,,,56,RF,,
86,R456C10,,Oa,,7,16,9,7.5YR 2.5/1,7.5YR,2.5,1,56,RF,,
86,R456C10,,E,,16,20,4,10YR 6/1,10YR,6,1,56,RF,,
86,R456C10,,Bs,,20,34,14,7.5YR 4/3,7.5YR,4,3,56,RF,,
86,R456C10,,BC,,34,-,,10YR 3/6,10YR,3,6,56,RF,No sun,
86,R456C12,,Oi,,0,4,4,,,,,34,RF,,
86,R456C12,,Oe,,4,9,5,,,,,34,RF,,
86,R456C12,,Oa,,9,11,2,7.5YR 2.5/1,7.5YR,2.5,1,34,RF,,
86,R456C12,,Bhs,,11,-,,7.5YR 2.5/2,7.5YR,2.5,1,34,RF,No sun,
86,R456C14,,Oi,,0,3,3,,,,,83,C,,
86,R456C14,,Oe,,3,5,2,,,,,83,C,,
86,R456C14,,Oa,,5,7,2,7.5YR 2.5/1,7.5YR,2.5,1,83,C,,
86,R456C14,,E,,7,8,1,,,,,83,C,,
86,R456C14,,Bhs,,8,10,2,5YR 2.5/2,5YR,2.5,2,83,C,,
86,R456C14,,Bs,,10,13,3,7.5YR 3/4,7.5YR,3,4,83,C,,
86,R456C14,,BC,,13,21,8,10YR 4/6,10YR,4,6,83,C,,
86,R456C14,,Eb,,21,32,11,10YR 7/1,10YR,7,1,83,C,,
86,R456C14,,BC',1,32,62,30,10YR 5/8,10YR,5,8,83,C,,
86,R456C14,,BC',2,62,76,14,10YR 3/4,10YR,3,4,83,C,,
86,R456C14,,BC',3,76,82,6,10YR 4/6,10YR,4,6,83,C,,
86,R456C14,,C,,82,-,,2.5Y 5/4,2.5Y,5,4,83,C,Sun; E too thin to color,
86,R462C20,,Oi,,0,2,2,,,,,49,RF,,
86,R462C20,,Oe,,2,4,2,,,,,49,RF,,
86,R462C20,,Oa,,4,8,4,7.5YR 2.5/1,7.5YR,2.5,1,49,RF,,
86,R462C20,,E,,8,9,1,,,,,49,RF,,
86,R462C20,,Bhs,1,9,14,5,7.5YR 3/2,7.5YR,3,3,49,RF,,
86,R462C20,,Bhs,2,14,46,32,7.5YR 2.5/1,7.5YR,2.5,1,49,RF,,
86,R462C20,,Bs,,46,-,,5YR 3/4,5YR,3,4,49,RF,E too thin to color,
86,R464C10,,Oi,,0,4,4,,,,,51,C,,
86,R464C10,,Oe,,4,8,4,,,,,51,C,,
86,R464C10,,Oa,,8,16,8,7.5YR 2.5/1,7.5YR,2.5,1,51,C,,
86,R464C10,,E,,16,21,5,10YR 7/1,10YR,7,1,51,C,,
86,R464C10,,Bhs,,21,28,7,5YR 2.5/1,5YR,2.5,1,51,C,,
86,R464C10,,Bs,,28,37,9,7.5YR 4/4,7.5YR,4,4,51,C,,
86,R464C10,,C,,37,-,,2.5Y 5/6,2.5Y,5,6,51,C,,
86,R464C8,,Oi,,0,3,3,,,,,46,RF,,
86,R464C8,,Oe,,3,13,10,,,,,46,RF,,
86,R464C8,,Oa,,13,18,5,7.5YR 2.5/1,7.5YR,2.5,1,46,RF,,
86,R464C8,,Bhs,,18,-,,7.5YR 3/3,7.5YR,3,3,46,RF,,
52,R500M0,,Oi,,0,1.5,1.5,,,,,13,R,,
52,R500M0,,Oe,,1.5,3,1.5,,,,,13,R,,
52,R500M0,,Oa,,3,3.5,0.5,7.5YR 2.5/1,7.5YR,2.5,1,13,R,,
52,R500M0,,E,,3.5,13,9.5,7.5YR 6/1,7.5YR,6,1,13,R,Nice coarse fragement was pocketed; top of rock outcrop,
52,R500M1.5,,E Podzol,,0,37,37,,,,,37,R,,
52,R500M4.0,,E Podzol,,0,25.5,25.5,,,,,25.5,R,End visisble outcrop,
52,R500M5.0,,E Podzol,,0,18.5,18.5,,,,,18.5,R,Microtopo flattens,
52,R500M10,,Oi,,0,3,3,,,,,10,R,,
52,R500M10,,Oe,,3,7,4,,,,,10,R,,
52,R500M10,,Oa,,7,10,3,7.5YR 2.5/1,7.5YR,2.5,1,10,R,E Pocket,
52,R500M15,,E Podzol,,0,8,8,,,,,8,R,Last point before drop off,
52,R500M19,,E Podzol,,0,22,22,,,,,22,R,Depression,
52,R500M20,,Oi,,0,3.5,3.5,,,,,6.5,R,,
52,R500M20,,Oe,,3.5,6,2.5,,,,,6.5,R,,
52,R500M20,,Oa,,6,6.5,0.5,7.5YR 2.5/1,7.5YR,2.5,1,6.5,R,Mound (bedrock),
52,R500M24.5,,E Podzol,,0,41,41,,,,,41,R,Depression between mounds,
52,R500M25.5,,E Podzol,,0,12,12,,,,,12,R,Next mound,
52,R500M30,,Oi,,0,4,4,,,,,25,R,,
52,R500M30,,Oe,,4,9.5,5.5,,,,,25,R,,
52,R500M30,,Oa,,9.5,10,0.5,,,,,25,R,,
52,R500M30,,E,,10,25,15,7.5YR 2.5/1,7.5YR,2.5,1,25,R,Gentle slope down,
52,R500M38.5,,E Podzol,,0,33,33,,,,,33,R,In between mounds,
52,R500M40,,Oi,,0,2,2,,,,,5,R,,
52,R500M40,,Oe,,2,3,1,,,,,5,R,,
52,R500M40,,Oa,,3,5,2,7.5YR 2.5/1,7.5YR,2.5,1,5,R,On mound,
52,R500M42.5,,E Podzol,,0,49,49,,,,,49,R,Dark E,
52,R500M50,,Oi,,0,1,1,,,,,56,R,,
52,R500M50,,Oe,,1,5,4,,,,,56,R,,
52,R500M50,,Oa,,5,6,1,7.5YR 2.5/1,7.5YR,2.5,1,56,R,,
52,R500M50,,Bhs,1,6,29,23,7.5YR 3/2,7.5YR,3,2,56,R,,
52,R500M50,,Bhs,2,29,56,27,5YR 3/2,5YR,3,2,56,R,Continuing downward slope; patches of 3/3 in Bhs1,
52,R498M0,,Oi,,0,2,2,,,,,4,R,,
52,R498M0,,Oe,,2,3,1,,,,,4,R,,
52,R498M0,,Oa,,3,4,1,7.5YR 2.5/1,7.5YR,2.5,1,4,R,Bright sunny; open bedrock; tourmaline and mica sheets visible (near peg matrix contact???),
52,R498M10,,R,,0,0,0,,,,,0,R,peeled by giant tree throw; bit of bedrock collected; continues to be barely mossy bedrock,
52,R498M20,,Oi,,0,3,3,,,,,7,R,,
52,R498M20,,Oe,,3,5,2,,,,,7,R,,
52,R498M20,,Oa,,5,6,1,7.5YR 2.5/1,7.5YR,2.5,1,7,R,,
52,R498M20,,E,,6,7,1,7.5YR 4/2,7.5YR,4,2,7,R,Edge bedrock before flattens,
52,R498M22.5,,E Podzol,,0,15,15,,,,,15,R,Brighter E; bedrock disappears and converges with other landform,
52,R498M30,,Oi,,0,5.5,5.5,,,,,25.5,R,,
52,R498M30,,Oe,,5.5,10,4.5,,,,,25.5,R,,
52,R498M30,,Oa,,10,11,1,7.5YR 3/2,7.5YR,3,2,25.5,R,,
52,R498M30,,Bhs,,11,25.5,14.5,7.5YR 3/3,7.5YR,3,3,25.5,R,Next lump ending at steep dropoff at 33.5m; cusp between Bhs and E Podzol; Oa potentially A horizon,
52,R498M35,,E Podzol,,0,31.5,31.5,,,,,31.5,R,At end of dropoff; levels out,
52,R498M40,,Oi,,0,2,2,,,,,22.5,R,,
52,R498M40,,Oe,,2,4,2,,,,,22.5,R,,
52,R498M40,,Oa,,4,6.5,2.5,7.5YR 2.5/1,7.5YR,2.5,1,22.5,R,,
52,R498M40,,E,,6.5,22.5,16,7.5YR 6/1,7.5YR,6,1,22.5,R,Coming off another little bedrock ledge,
52,R498M45.5,,(Bark?) Histosol,,0,6.5,6.5,,,,,6.5,R,Edge of ledge,
52,R498M47,,Oi,,0,3,3,,,,,58,R,,
52,R498M47,,Oe,,3,5,2,,,,,58,R,,
52,R498M47,,Oa,,5,7.5,2.5,7.5YR 2.5/1,7.5YR,2.5,1,58,R,,
52,R498M47,,E,,7.5,12,4.5,7.5YR 4/2,7.5YR,4,2,58,R,,
52,R498M47,,Bhs,,12,55,43,5YR 2.5/2,5YR,2.5,2,58,R,,
52,R498M47,,Bs,,55,58,3,5YR 4/4,5YR,4,4,58,R,Accidental full characterization,
52,R498M50,"
",unknown,,0,88,88,,,,,88,,"Similar to R498M47, but more humic",
52,R496M50,,Oi,,0,1,1,,,,,10,R,,
52,R496M50,,Oe,,1,3,2,,,,,10,R,,
52,R496M50,,Oa,,3,5,2,7.5YR 2.5/1,7.5YR,2.5,1,10,R,,
52,R496M50,,E,,5,10,5,7.5YR 5/2,7.5YR,5,2,10,R,Located 1m south to avoid a tree; flattish; side of flow path; no sun,
52,R496M48.5,,Bhs podzol,,0,13,13,,,,,13,R,Closed depression,
52,R496M47,,Bedrock Histosol,,0,2,2,,,,,2,R,"Lump
",
52,R496M40,,Oi,,0,1.5,1.5,,,,,45,R,,
52,R496M40,,Oe,,1.5,4,2.5,,,,,45,R,,
52,R496M40,,Oa,,4,7,3,7.5YR 2.5/1,7.5YR,2.5,1,45,R,,
52,R496M40,,Bhs,,7,45,38,5YR 3/1,5YR,3,1,45,R,E pockets; bedrock (croting?) steeply in small lump to north; grades slightly up to next,
52,R496M37.5,,Unknown podzol,,0,37,37,,,,,37,R,One lump thats converging between two,
52,R496M35,,Bedrock,,0,0,0,,,,,0,R,Next lump,"Only schist
"
52,R496M33,,Dark E Podzol,,0,38,38,,,,,38,R,Slight depression,
52,R496M30,,Oi,,0,1,1,,,,,30.5,R,,
52,R496M30,,Oe,,1,4,3,,,,,30.5,R,,
52,R496M30,,Oa,,4,4.5,0.5,7.5YR 2.5/1,7.5YR,2.5,1,30.5,R,,
52,R496M30,,Bhs,,4.5,30.5,26,7.5YR 2.5/2,7.5YR,2.5,2,30.5,R,On side of steep bedrock,
52,R496M27,,Bhs Podzol,,0,63,63,7.5YR 3/3,7.5YR,3,3,63,R,Flattens out; yellowish,
52,R496M22,,Bedrock Histosol,,0,2,2,,,,,2,R,Mound,
52,R496M20.5,,Bedrock Histosol,,0,3,3,,,,,3,R,Bedrock (rises?) steeply,
52,R496M20,,Bedrock,,0,0,0,,,,,0,R,,
52,R496M15,,E Podzol,,0,9,9,,,,,9,R,Top of bedrock,
52,R496M10,,Oi,,0,0.5,0.5,,,,,3,R,,
52,R496M10,,Oe,,0.5,2,1.5,,,,,3,R,,
52,R496M10,,Oa,,2,3,1,7.5YR 2.5/1,7.5YR,2.5,1,3,R,[bedrock] Continues to rise,
52,R496M0,,Oi,,0,4,4,,,,,23.5,R,,
52,R496M0,,Oe,,4,8,4,,,,,23.5,R,,
52,R496M0,,Oa,,8,9,1,7.5YR 2.5/1,7.5YR,2.5,1,23.5,R,,
52,R496M0,,E,,9,23.5,14.5,10YR 4/1,10YR,4,1,23.5,R,Bedrock (topsy turvy?) but mostly covered in O or O/E; low spot between converging rocks,
52,R494M0,,Oi,,0,2.5,2.5,,,,,38.5,R,,
52,R494M0,,Oe,,2.5,5,2.5,,,,,38.5,R,,
52,R494M0,,Oa,,5,7,2,7.5YR 2.5/1,7.5YR,2.5,1,38.5,R,,
52,R494M0,,E,,7,38.5,31.5,7.5YR 4/2,7.5YR,4,2,38.5,R,No sun; top flattish of bedrock; w/n edge,
52,R494M10,,Oi,,0,4,4,,,,,13,R,,
52,R494M10,,Oe,,4,13,9,,,,,13,R,"Bedrock dips at 9.5m; dips steeply/perpendicular to ground; less than 1cm of Oa; outcrop at 350 degrees
",
52,R494M15.5,,E Podzol,,0,18.5,18.5,,,,,18.5,R,Bedrock dissappears and landscape flattens,
52,R494M18.5,,Bhs Podzol,,0,26.5,26.5,,,,,26.5,R,E pockets; another step in landscape/bedrock under,
52,R494M20,,Bedrock,,0,0,0,,,,,0,R,,
52,R494M21,,E Podzol,,0,48.5,48.5,,,,,48.5,R,Bedrock under again,
52,R494M30,,Oi,,0,5,5,,,,,25,R,,
52,R494M30,,Oe,,5,9,4,,,,,25,R,,
52,R494M30,,Oa,,9,13,4,7.5YR 2.5/1,7.5YR,2.5,1,25,R,,
52,R494M30,,E,,13,25,12,5YR 5/1,5YR,5,1,25,R,"Consistent slope down to M30, in mini-depression between 2 rocks",
52,R494M32.5,,E Podzol,,0,24,24,,,,,24,R,Mini-depression,
52,R494M40,,Oi,,0,2.5,2.5,,,,,7,R,,
52,R494M40,,Oe,,2.5,5,2.5,,,,,7,R,,
52,R494M40,,Oa,,5,7,2,7.5YR 2.5/1,7.5YR,2.5,1,7,R,Slope downward steepens,
52,R494M43.5,,Bedrock Histosol,,0,8,8,,,,,8,R,Bottom footslope/flattens,
52,R494M50,,Oi,,0,3,3,,,,,40,R,,
52,R494M50,,Oe,,3,6,3,,,,,40,R,,
52,R494M50,,Oa,,6,7,1,7.5YR 2.5/1,7.5YR,2.5,1,40,R,,
52,R494M50,,Bhs,,7,40,33,5YR 2.5/2,5YR,2.5,2,40,R,"Small, deep mound in drainage between bedrocks",
52,R494M60,,Oi,,0,2,2,,,,,6,R,,
52,R494M60,,Oe,,2,6,4,,,,,6,R,"Bedrock lining E; side of ""channel""",
52,R492M60,,Oi,,0,1,1,,,,,3,R,,
52,R492M60,,Oe,,1,3,2,,,,,3,R,Micro-backslope; top of mound; boundary flow path,
52,R492M55,,"E Podzol
",,0,18,18,,,,,18,R,Bedrock flattens out,
52,R492M50,,Oi,,0,4,4,,,,,61,R,,
52,R492M50,,Oe,,4,7,3,,,,,61,R,,
52,R492M50,,Oa,,7,9,2,7.5YR 2.5/1,7.5YR,2.5,1,61,R,,
52,R492M50,,Bhs,,9,35,26,7.5YR 2.5/2,7.5YR,2.5,1,61,R,,
52,R492M50,,E/Bg,,35,54,19,7.5YR 4/1,7.5YR,4,1,61,R,,
52,R492M50,,C,,54,61,7,2.5Y 4/3,2.5Y,4,3,61,R,"No apparent disturbance level; flat at bedrock; E/Bg wet, smeary, metallic smell",
52,R492M47.5,,Bedrock Histosol,,0,5,5,,,,,5,R,Bedrock emerges,
52,R492M40,,Oi,,0,3,3,,,,,44,R,,
52,R492M40,,Oe,,3,5,2,,,,,44,R,,
52,R492M40,,Oa,,5,7,2,7.5YR 2.5/1,7.5YR,2.5,1,44,R,,
52,R492M40,,Bhs,,7,44,37,7.5YR 3/2,7.5YR,3,2,44,R,Over bedrock humps; E pockets,
52,R492M36,,Bedrock,,0,0,0,,,,,0,R,Bedrock emerges,
52,R492M30,,Oi,,0,3,3,,,,,10,R,,
52,R492M30,,Oe,,3,8,5,,,,,10,R,,
52,R492M30,,Oa,,8,10,2,7.5YR 2.5/1,7.5YR,2.5,1,10,R,Next mound top,
52,R492M26,,Bhs Podzol,,0,33,33,,,,,33,R,Depression at next bedrock emerges,
52,R492M20,,Oi,,0,2,2,,,,,6.5,R,,
52,R492M20,,Oe,,2,4,2,,,,,6.5,R,,
52,R492M20,,Oa,,4,4.5,0.5,7.5YR 2.5/1,7.5YR,2.5,1,6.5,R,,
52,R492M20,,E,,4.5,6.5,2,7.5YR 4/2,7.5YR,4,2,6.5,R,Still in bedrock dominated,
52,R492M10,,Oi,,0,6,6,,,,,28,R,,
52,R492M10,,Oe,,6,14,8,,,,,28,R,,
52,R492M10,,Oa,,14,16,2,7.5YR 2.5/1,7.5YR,2.5,1,28,R,,
52,R492M10,,Bhs,,16,28,12,7.5YR 3/2,7.5YR,3,2,28,R,At new rising step,
52,R492M0,,Oi,,0,4,4,,,,,35.5,R,,
52,R492M0,,Oe,,4,9,5,,,,,35.5,R,,
52,R492M0,,Oa,,9,11,2,7.5YR 2.5/1,7.5YR,2.5,1,35.5,R,,
52,R492M0,,Bhs,,11,35.5,24.5,7.5YR 2.5/2,7.5YR,2.5,1,35.5,R,Bedrock cuts down sharply (5 of transect?),
52,R490M70,,Oi,,0,5,5,,,,,29,R,,
52,R490M70,,Oe,,5,9,4,,,,,29,R,,
52,R490M70,,Oa,,9,13,4,7.5YR 2.5/1,7.5YR,2.5,1,29,R,,
52,R490M70,,E,,13,29,16,7.5YR 6/2,7.5YR,6,2,29,R,Shallow bedrock relatively planar and flat,
52,R490M59,,Oi,,0,1,1,,,,,30,R,,
52,R490M59,,Oe,,1,2,1,,,,,30,R,,
52,R490M59,,Oa,,2,5,3,7.5YR 2.5/1,7.5YR,2.5,1,30,R,,
52,R490M59,,E,,5,10,5,5YR 5/1,5YR,5,1,30,R,,
52,R490M59,,Bhs,,10,18,8,5YR 2.5/1,5YR,2.5,1,30,R,,
52,R490M59,,Bs,,18,30,12,7.5YR 4/4,7.5YR,4,4,30,R,Slightly convex but on broadly planar bedrock landform,
52,R490M53.5,,Bedrock Histosol,,0,3,3,,,,,3,R,,
52,R490M51,,Oi,,0,2,2,,,,,56,R,,
52,R490M51,,Oe,,2,4,2,,,,,56,R,,
52,R490M51,,Oa,,4,6,2,7.5YR 2.5/1,7.5YR,2.5,1,56,R,,
52,R490M51,,Bhs,,6,56,50,5YR 2.5/1,5YR,2.5,1,56,R,Middle of flowpath,
52,R490M50,,Bedrock Histosol,,0,5,5,,,,,5,R,Immediately adjacent in flowpath,
52,R490M45,,Bedrock,,0,0,0,,,,,0,R,,
52,R490M40,,Oi,,0,1,1,,,,,13,R,,
52,R490M40,,Oe,,1,3,2,,,,,13,R,,
52,R490M40,,Oa,,3,8,5,7.5YR 2.5/1,7.5YR,2.5,1,13,R,,
52,R490M40,,Bhs,,8,13,5,7.5YR 2.5/2,7.5YR,2.5,1,13,R,Stripped (grains?); E pockets; planar bedrock; shallow bedrock continues,
52,R490M30,,Oi,,0,1,1,,,,,38,R,,
52,R490M30,,Oe,,1,2,1,,,,,38,R,,
52,R490M30,,Oa,,2,5,3,7.5YR 2.5/1,7.5YR,2.5,1,38,R,,
52,R490M30,,E,,5,7,2,5YR 4/1,5YR,4,1,38,R,,
52,R490M30,,Bhs,,7,38,31,7.5YR 2.5/3,7.5YR,2.5,3,38,R,Relatively planar top of bedrock; dark E,
52,R490M20.7,,Oi,,0,2,2,,,,,69,R,,
52,R490M20.7,,Oe,,2,4,2,,,,,69,R,,
52,R490M20.7,,Oa,,4,6,2,7.5YR 2.5/1,7.5YR,2.5,1,69,R,,
52,R490M20.7,,E,,6,10,4,5YR 4/1,5YR,4,1,69,R,,
52,R490M20.7,,Bhs,,10,40,30,5YR 2.5/1,5YR,2.5,1,69,R,,
52,R490M20.7,,BC,,40,69,29,10YR 3/4,10YR,3,4,69,R,Still mainly uphill on bedrock; moved due to tree,
52,R490M10,,Oi,,0,1,1,,,,,70,R,,
52,R490M10,,Oe,,1,3,2,,,,,70,R,,
52,R490M10,,Oa,,3,4,1,7.5YR 2.5/1,7.5YR,2.5,1,70,R,,
52,R490M10,,E,,4,7,3,5YR 5/1,5YR,5,1,70,R,,
52,R490M10,,Bhs,,7,40,33,5YR 2.5/1,5YR,2.5,1,70,R,,
52,R490M10,,BC,,40,70,30,10YR 3/4,10YR,3,4,70,R,Continuing uphill; fairly planar on spur,
