Subwatershed,Site Name,Prefix,Horizon,Suffix,Top (cm),Bottom (cm),Horizon Depth (cm),Color,Hue,Value,Chroma,Total Depth,Bottom Interface,Notes,
52,R490M0,,Oi,,0,1,1,,,,,80,?,,
52,R490M0,,Oe,,1,2,1,,,,,80,?,,
52,R490M0,,Oa,,2,4,2,7.5YR 2.5/1,7.5YR,2.5,1,80,?,,
52,R490M0,,E,,4,7,3,"7.5YR 4/2
",7.5YR,4,2,80,?,,
52,R490M0,,Bhs,,7,10,3,7.5YR 2.5/2,7.5YR,2.5,2,80,?,,
52,R490M0,,Bs,,10,60,50,7.5YR 3/4,7.5YR,3,4,80,?,,
52,R490M0,,Bh?,,60,80,20,7.5YR 3/3,7.5YR,3,3,80,?,Bottom interface was a gravelly material; next to bedrock where Maggie Burns and Scott (shoveled?) on spur,
52,R488M0,,Oi,,0,2,2,,,,,66,C,,
52,R488M0,,Oe,,2,5,3,,,,,66,C,,
52,R488M0,,Oa,,5,12,7,7.5YR 2.5/1,7.5YR,2.5,1,66,C,,
52,R488M0,,E,,12,21,9,5YR 4/2,5YR,4,2,66,C,,
52,R488M0,,Bhs,,21,60,39,7.5YR 2.5/1,7.5YR,2.5,1,66,C,,
52,R488M0,,BC,,60,65,5,10YR 3/4,10YR,3,4,66,C,,
52,R488M0,,C,,65,-,,2.5Y 5/4,2.5Y,5,4,66,C,On spur; dark E; relatively planar; deep,
52,R488M10,,Oi,,0,1,1,,,,,75,C,,
52,R488M10,,Oe,,1,3,2,,,,,75,C,,
52,R488M10,,Oa,,3,8,5,7.5YR 2.5/1,7.5YR,2.5,1,75,C,,
52,R488M10,,E,,8,18,10,5YR 4/1,5YR,4,1,75,C,,
52,R488M10,,Bhs,1,18,25,7,7.5YR 2.5/1,7.5YR,2.5,1,75,C,,
52,R488M10,,Bhs,2,25,60,35,7.5YR 3/3,7.5YR,3,3,75,C,,
52,R488M10,,BC,,60,65,5,10YR 3/4,10YR,3,4,75,C,,
52,R488M10,,C,,65,-,,2.5Y 6/4,2.5Y,6,4,75,C,Head of a spur; glacial drift,
52,R488M20,,Oi,,0,2,2,,,,,78,C,,
52,R488M20,,Oe,,2,4,2,,,,,78,C,,
52,R488M20,,Oa,,4,9,5,7.5YR 2.5/1,7.5YR,2.5,1,78,C,,
52,R488M20,,E,,9,14,5,5YR 4/1,5YR,4,1,78,C,,
52,R488M20,,Bhs,,14,19,5,5YR 2.5/2,5YR,2.5,2,78,C,,
52,R488M20,,Bs,,19,27,8,5YR 4/3,5YR,4,3,78,C,,
52,R488M20,,BC,,27,67,40,10YR 3/3,10YR,3,3,78,C,,
52,R488M20,,C,,67,-,,2.5Y 4/3,2.5Y,4,3,78,C,Still on spur,
52,R488M30,,Oi,,0,2,2,,,,,67,C,,
52,R488M30,,Oe,,2,4,2,,,,,67,C,,
52,R488M30,,Oa,,4,11,7,7.5YR 2.5/1,7.5YR,2.5,1,67,C,,
52,R488M30,,E,,11,16,5,5YR 5/1,5YR,5,1,67,C,,
52,R488M30,,Bhs,,16,18,2,5YR 2.5/1,5YR,2.5,1,67,C,,
52,R488M30,,Bs,,18,53,35,7.5YR 3/4,7.5YR,3,4,67,C,,
52,R488M30,,C,,53,-,,2.5Y 4/4,2.5Y,4,4,67,C,Coming off of spur,
52,R488M35,,,,,,0,,,,,,,Transition from glacial drift to shallow bedrock; slope picks up; bedrock gets much shallower,
52,R488M40,,Oi,,0,1,1,,,,,10,R,,
52,R488M40,,Oe,,1,3,2,,,,,10,R,,
52,R488M40,,Oa,,3,10,7,7.5YR 2.5/1,7.5YR,2.5,1,10,R,"Transition to bedrock further back
",
52,R488M50,,Oi,,0,3,3,,,,,50,R,,
52,R488M50,,"Oe
",,3,4,1,,,,,50,R,,
52,R488M50,,Oa,,4,10,6,7.5YR 2.5/1,7.5YR,2.5,1,50,R,,
52,R488M50,,E/Bhs,1,10,28,18,7.5YR 3/1,7.5YR,3,1,50,R,,
52,R488M50,,Bhs,2,28,50,22,7.5YR 2.5/2,7.5YR,2.5,2,50,R,Channel of Paradise Brook; E pockets and stripped grains in top mineral soil,
52,R488M55,,Bedrock Histosol,,0,3,3,,,,,3,R,Ends at M56.5,
52,R488M60,,Oi,,0,1,1,,,,,75,Bh?,,
52,R488M60,,Oe,,1,3,2,,,,,75,Bh?,,
52,R488M60,,Oa,,3,4,1,7.5YR 2.5/2,7.5YR,2.5,2,75,Bh?,,
52,R488M60,,E,,4,6,2,7.5YR 5/1,7.5YR,5,1,75,Bh?,,
52,R488M60,,Bhs,,6,10,4,5YR 3/2,5YR,3,2,75,Bh?,,
52,R488M60,,Bs,,10,72,62,7.5YR 5/4,7.5YR,5,4,75,Bh?,,
52,R488M60,,Bh?,,72,-,,10YR 3/3,10YR,3,3,75,Bh?,Buried E cut (depth?) in pockets,
52,R488M70,,Oi,,0,2,2,,,,,9,R,,
52,R488M70,,Oe,,2,4,2,,,,,9,R,,
52,R488M70,,Oa,,4,9,5,7.5YR 2.5/2,7.5YR,2.5,2,9,R,HB174 samples; transition to bedrock; very friable; lots of roots,
52,R486M80,,Oi,,0,4,4,,,,,21,R,,
52,R486M80,,Oe,,4,7,3,,,,,21,R,,
52,R486M80,,Oa,1,7,13,6,7.5YR 2.5/2,7.5YR,2.5,2,21,R,,
52,R486M80,,Oa,2,13,17,4,7.5YR 2.5/1,7.5YR,2.5,1,21,R,,
52,R486M80,,E,,17,21,4,7.5YR 5/1,7.5YR,5,1,21,R,(Flaggy?) bedrock pieces over solid bedrock; loose flags from bedrock,
52,R486M70.5,,Oi,,0,2,2,,,,,23,R,,
52,R486M70.5,,Oe,,2,3,1,,,,,23,R,,
52,R486M70.5,,"Oa
",,3,12,9,7.5YR 2.5/1,7.5YR,2.5,1,23,R,,
52,R486M70.5,,E,,12,23,11,5YR 5/1,5YR,5,1,23,R,Bedrock dominated,
52,R486M60,,Oi,,0,0.5,0.5,,,,,4,R,,
52,R486M60,,Oe,,0.5,1,0.5,,,,,4,R,,
52,R486M60,,Oa,,1,4,3,7.5YR 2.5/1,7.5YR,2.5,1,4,R,,
52,R486M50,,Oi,,0,1,1,,,,,15,R,,
52,R486M50,,Oe,,1,2,1,,,,,15,R,,
52,R486M50,,Oa,,2,6,4,7.5YR 2.5/1,7.5YR,2.5,1,15,R,,
52,R486M50,,E,,6,15,9,7.5YR 4/1,7.5YR,4,1,15,R,Flowpath,
52,R486M42.5,,,,0,,0,,,,,,,Bedrock arrives,
52,R486M40,,Moss,,0,1,1,,,,,1,R,Outcrop; little worms,
52,R486M30,,Oi,,0,1,1,,,,,76,R,,
52,R486M30,,Oe,,1,3,2,,,,,76,R,,
52,R486M30,,Oa,,3,9,6,7.5YR 2.5/1,7.5YR,2.5,1,76,R,,
52,R486M30,,Bhs,,9,50,41,7.5YR 2.5/2,7.5YR,2.5,1,76,R,,
52,R486M30,,Bs,,50,65,15,7.5YR 3/4,7.5YR,3,4,76,R,,
52,R486M30,,C,,65,-,,2.5YR 4/3,2.5YR,4,3,76,R,,
52,R486M22.5,,,,,,,,,,,"
",,Break to outcrops,
52,R486M20,,Oi,,0,0.5,0.5,,,,,4,R,,
52,R486M20,,Oe,,0.5,1,0.5,,,,,4,R,,
52,R486M20,,Oa,,1,4,3,7.5YR 2.5/1,7.5YR,2.5,1,4,R,,
52,R486M10,,Oi,,0,2,2,,,,,10,R,,
52,R486M10,,Oe,,2,4,2,,,,,10,R,,
52,R486M10,,Oa,,4,10,6,7.5YR 2.5/1,7.5YR,2.5,1,10,R,(litwiz?) histosol,
52,R486M0,,Oi,,0,0.5,0.5,,,,,3,R,,
52,R486M0,,Oe,,0.5,1,0.5,,,,,3,R,,
52,R486M0,,Oa,,1,3,2,7.5YR 2.5/1,7.5YR,2.5,1,3,R,Perfect Kinsman boulder for shawing sometime; nice (prer?) weathering veins,
52,R484M0,,,,,,0,,,,,,,M0-M9 are on or beyond the subwatershed divide; consists of moss on bedrock,
52,R484M10,,Moss,,0,3,3,,,,,3,R,,
52,R484M20,,Oi,,0,1,1,,,,,85,C,,
52,R484M20,,Oe,,1,2,1,,,,,85,C,,
52,R484M20,,Oa,,2,10,8,7.5YR 2.5/1,7.5YR,2.5,1,85,C,,
52,R484M20,,Bhs,1,10,18,8,7.5YR 2.5/3,7.5YR,2.5,3,85,C,,
52,R484M20,,Bhs,2,18,55,37,7.5YR 3/3,7.5YR,3,3,85,C,,
52,R484M20,,Bs,,55,70,15,7.5YR 5/4,7.5YR,5,4,85,C,,
52,R484M20,,BC,,70,80,10,10YR 4/6,10YR,4,6,85,C,,
52,R484M20,,C,,80,-,,2.5Y 5/4,2.5Y,5,4,85,C,,
52,R484M22.5,,,,,,0,,,,,,,Shallow again,
52,R484M24,,,,0,,0,,,,,,,Outcrop of bedrock,
52,R484M29.5,,,,0,,0,,,,,7?,R?,Bedrock outcrop; before dropoff,
52,R484M30,,Oi,,0,1,1,,,,,33,R,,
52,R484M30,,Oe,,1,2,1,,,,,33,R,,
52,R484M30,,Oa,,2,4,2,7.5YR 2.5/1,7.5YR,2.5,1,33,R,,
52,R484M30,,Bhs,,4,33,29,7.5YR 2.5/1,7.5YR,2.5,1,33,R,After dropoff,
52,R484M40,,Oi,,0,1,1,,,,,75,R,,
52,R484M40,,Oe,,1,2,1,,,,,75,R,,
52,R484M40,,Oa,,2,4,2,7.5YR 2.5/1,7.5YR,2.5,1,75,R,,
52,R484M40,,Bhs,,4,17,13,7.5YR 2.5/2,7.5YR,2.5,2,75,R,,
52,R484M40,,Bs,,17,75,58,7.5YR 3/4,7.5YR,3,4,75,R,Broken outcrop to the north,
52,R484M47,,,,,,0,,,,,,,"Boulders; PFM Bhs wells
",
52,R484M50.1,,Oi,,0,1,1,,,,,13,RF,,
52,R484M50.1,,Oe,,1,3,2,,,,,13,RF,,
52,R484M50.1,,Oa,,3,5,2,7.5YR 2.5/1,7.5YR,2.5,1,13,RF,,
52,R484M50.1,,Bhs,,5,-,,7.5YR 3/1,7.5YR,3,1,13,RF,Boulders in central channel,
52,R484M60,,Oi,,0,2,2,,,,,38,R,,
52,R484M60,,Oe,,2,4,2,,,,,38,R,,
52,R484M60,,Oa,,4,16,12,7.5YR 2.5/1,7.5YR,2.5,1,38,R,,
52,R484M60,,E,,16,28,12,7.5YR 5/1,7.5YR,5,1,38,R,,
52,R484M60,,Bhs,,28,38,10,5YR 3/2,5YR,3,2,38,R,Bhs pocket,
52,R484M64,,,,,,0,,,,,3?,R?,Bedrock outcrop,
52,R484M70,,Oi,,0,1,1,,,,,58,R,,
52,R484M70,,Oe,,1,2,1,,,,,58,R,,
52,R484M70,,Oa,,2,5,3,7.5YR 2.5/1,7.5YR,2.5,1,58,R,,
52,R484M70,,Bhs,,5,8,3,5YR 2.5/1,5YR,2.5,1,58,R,,
52,R484M70,,Bs,,8,58,50,10YR 4/4,10Yr,4,4,58,R,Discountinous E on one side of biscuit,
52,R484M80,,Oi,,0,2,2,,,,,12,R,,
52,R484M80,,Oe,,2,3,1,,,,,12,R,,
52,R484M80,,Oa,,3,6,3,7.5YR 2.5/1,7.5YR,2.5,1,12,R,,
52,R484M80,,A,,6,12,6,7.5YR 2.5/2,7.5YR,2.5,1,12,R,,
52,R484M87,,Oi,,0,1,1,,,,,8,R,,
52,R484M87,,Oe,,1,2,1,,,,,8,R,,
52,R484M87,,Oa,1,2,5,3,,,,,8,R,,
52,R484M87,,Oa,2,5,6,1,7.5YR 2.5/1,7.5YR,2.5,1,8,R,,
52,R484M87,,E,,6,8,2,5YR 5/1,5YR,5,1,8,R,No sun; very shallow bedrock,
52,R484M80,,Oi,,0,2,2,,,,,28,R,,
52,R484M80,,Oe,,2,6,4,,,,,28,R,,
52,R484M80,,Oa,,6,10,4,7.5YR 2.5/1,7.5YR,2.5,1,28,R,,
52,R484M80,,E,,10,23,13,5YR 6/2,5YR,6,2,28,R,,
52,R484M80,,Bhs,,23,28,5,5YR 2.5/1,5YR,2.5,1,28,R,Lots of boulders,
52,R484M70,,Oi,,0,1,1,,,,,62,R,,
52,R484M70,,Oe,,1,3,2,,,,,62,R,,
52,R484M70,,Oa,,3,7,4,7.5YR 2.5/1,7.5YR,2.5,1,62,R,,
52,R484M70,,E,,7,14,7,7.5YR 5/1,7.5YR,5,1,62,R,,
52,R484M70,,Bhs,,14,16,2,7.5YR 2.5/1,7.5YR,2.5,1,62,R,,
52,R484M70,,BC,,16,31,15,10YR 4/3,10YR,4,3,62,R,,
52,R484M70,,C,1,31,41,10,2.5Y 4/4,2.5Y,4,4,62,R,,
52,R484M70,,C,2,41,62,21,2.5Y 5/4,2.5Y,5,4,62,R,Very bouldery,
52,R484M60,,Oi,,0,1,1,,,,,80,C,,
52,R484M60,,Oe,,1,3,2,,,,,80,C,,
52,R484M60,,Oa,,3,6.5,3.5,7.5YR 2.5/1,7.5YR,2.5,1,80,C,,
52,R484M60,,E,,6.5,12,5.5,7.5YR 6/1,7.5YR,6,1,80,C,,
52,R484M60,,Bhs,,12,14,2,5YR 2.5/1,5YR,2.5,1,80,C,,
52,R484M60,,Bhs,,14,49,35,5YR 3/3,"5YR
",3,3,80,C,,
52,R484M60,,BC,,49,58,9,10YR 3/4,10YR,3,4,80,C,,
52,R484M60,,C,,58,"-
",,2.5Y 5/4,2.5Y,5,4,80,C,Good place to get bedrock under C?,
52,R484M50,,Oi,,0,2,2,,,,,29,RF,,
52,R484M50,,Oe,,2,5,3,,,,,29,RF,,
52,R484M50,,Oa,1,5,11,6,7.5YR 2.5/1,7.5YR,2.5,1,29,RF,,
52,R484M50,,Oa,2,11,16,5,7.5YR 2.5/1,7.5YR,2.5,1,29,RF,,
52,R484M50,,Bhs,,16,-,,7.5YR 2.5/1,7.5YR,2.5,1,29,RF,Very bouldery flowpath of Paradise Brook; ~3m away from 62; bleached E look; stripped grains,
52,R484M41.5,,Bedrock Histosol,,,,0,,,,,6,R,Bouldery area; bouldery spur,
52,R482M40,,"Oi
",,0,1,1,,,,,51,RF,,
52,R482M40,,Oe,,1,3,2,,,,,51,RF,,
52,R482M40,,Oa,,3,5,2,7.5YR 2.5/1,7.5YR,2.5,1,51,RF,,
52,R482M40,,Bhs,,5,-,,7.5YR 3/2,7.5YR,3,2,51,RF,Bhs appears 7.5YR 4/2 in bright sun; boulderly spur,
52,R482M30,,Oi,,0,2,2,,,,,45,R,,
52,R482M30,,Oe,,2,5,3,,,,,45,R,,
52,R482M30,,Oa,1,5,9,4,7.5YR 2.5/1,7.5YR,2.5,1,45,R,,
52,R482M30,,Oa,2,9,14,5,7.5YR 2.5/1,7.5YR,2.5,1,45,R,,
52,R482M30,,E,,14,20,6,7.5YR 5/1,7.5YR,5,1,45,R,,
52,R482M30,,Bhs,,20,33,13,5YR 3/2,5YR,3,2,45,R,,
52,R482M30,,Bs,,33,45,12,7.5YR 3/4,7.5YR,3,4,45,R,Pocketed E on a mini backslope,
52,R482M20,,Oi,,0,2,2,,,,,45,R,,
52,R482M20,,"Oe
",,2,3,1,,,,,45,R,,
52,R482M20,,Oa,,3,5,2,7.5YR 2.5/1,7.5YR,2.5,1,45,R,,
52,R482M20,,E,,5,9,4,5YR 4/1,5YR,4,1,45,R,,
52,R482M20,,Bhs,,9,15,6,5YR 2.5/2,5YR,2.5,2,45,R,,
52,R482M20,,Bs,,15,35,20,7.5YR 3/4,7.5YR,3,4,45,R,,
52,R482M20,,BC,,35,45,10,10YR 5/4,10YR,5,4,45,R,Cloudy BC; bouldery spur,
52,R482M10,,Oi,,0,1.5,1.5,,,,,79,C,,
52,R482M10,,Oe,,1.5,2.5,1,,,,,79,C,,
52,R482M10,,Oa,,2.5,6,3.5,7.5YR 2.5/1,7.5YR,2.5,1,79,C,,
52,R482M10,,Bhs,,6,21,15,5YR 2.5/2,5YR,2.5,2,79,C,,
52,R482M10,,Bs,,21,72,51,7.5YR 4/4,7.5YR,4,4,79,C,,
52,R482M10,,BC,,72,75,3,10YR 5/4,10YR,5,4,79,C,,
52,R482M10,,C,,75,-,,2.5Y 5/3,2.5Y,5,3,79,C,"E pocket; cloudy; 72?, 75?",
52,R482M7,,,,0,,0,,,,,,,Bedrock outcrop 2m north of transect,
52,R482M3.5,,,,0,,0,,,,,,,(Boulder?) with 2 spurs,
52,R482M0,,,,0,,0,,,,,,,"Outside of 52, but is bedrock",
52,R480M0,,,,0,,0,,,,,,,at the road,
52,"R480M10
",,Oi,,0,2,2,,,,,46,R,,
52,"R480M10
",,Oe,,2,4,2,,,,,46,R,,
52,"R480M10
",,Oa,,4,7,3,7.5YR 2.5/1,7.5YR,2.5,1,46,R,,
52,"R480M10
",,Bhs,,7,?,,,,,,46,R,M9.6-M11.4 is a boulder; biscuit was dug 1m south; soil was bouldery; stripped grains looked like an E; difficult to tell where the Oa ends/if a mineral horizon exists it would be characterized the same as the Oa; took (dod?) at 9-17cm; cloudy; change between horizons was not noted in field; here's a smiley face for your trouble :),
52,R480M20,,Oi,,0,2,,,,,,31,RF,,
52,R480M20,,Oe,,2,4,2,,,,,31,RF,,
52,R480M20,,Oa,,4,9,5,7.5YR 2.5/1,7.5YR,2.5,1,31,RF,,
52,R480M20,,E,,9,15,6,5YR 4/1,5YR,4,1,31,RF,,
52,R480M20,,Bhs,,15,25,10,5YR 2.5/2,5YR,2.5,2,31,RF,,
52,R480M20,,Bs,,25,-,,7.5YR 4/3,7.5YR,4,3,31,RF,Bottom of spur; cloudy,
52,R480M30,,Oi,,0,3,3,,,,,39,RF,,
52,R480M30,,Oe,,3,5.5,2.5,,,,,39,RF,,
52,R480M30,,Oa,,5.5,10,4.5,7.5YR 2.5/1,7.5YR,2.5,1,39,RF,,
52,R480M30,,Bhs,,10,-,,7.5YR 2.5/2,7.5YR,2.5,2,39,RF,Topography shooting out; cloudy,
52,R480M40,,Oi,,0,3,3,,,,,19,R,,
52,R480M40,,Oe,,3,6,3,,,,,19,R,,
52,R480M40,,Oa,,6,10,4,7.5YR 2.5/1,7.5YR,2.5,1,19,R,,
52,R480M40,,E,,10,19,9,5YR 4/1,5YR,4,1,19,R,In depression at the foot of the spur; shallow continuous rock surface; cloudy weather,
52,R480M50,,Oi,,0,2,2,,,,,22,R,,
52,R480M50,,Oe,,2,4,2,,,,,22,R,,
52,R480M50,,Oa,,4,6,2,7.5YR 2.5/1,7.5YR,2.5,1,22,R,,
52,R480M50,,Bhs,,6,22,16,5YR 3/1,5YR,3,1,22,R,Channel of Paradise Brook; dark E-like Bhs (no sun); likely intersecting boulder,
52,R480M59.7,,"Oi
",,0,1.5,1.5,,,,,61,R,,
52,R480M59.7,,Oe,,1.5,2.5,1,,,,,61,R,,
52,R480M59.7,,Oa,,2.5,6,3.5,7.5YR 2.5/1,7.5YR,2.5,1,61,R,,
52,R480M59.7,,E,,6,18,12,7.5YR 5/1,7.5YR,5,1,61,R,,
52,R480M59.7,,Bhs,,18,54,36,7.5YR 3/2,7.5YR,3,2,61,R,,
52,R480M59.7,,C,,54,61,7,2.5Y 4/3,2.5Y,4,3,61,R,"Cloudy, patchy E; flat bouldery fingers",
52,R480M70,,Oi,,0,4,4,,,,,30,R,,
52,R480M70,,Oe,,4,9,5,,,,,30,R,,
52,R480M70,,Oa,,9,30,21,7.5YR 2.5/1,7.5YR,2.5,1,30,R,Pit and mound close to bedrock; could have Bhs,
52,R480M80,,Oi,,0,3,3,,,,,57,R,,
52,R480M80,,Oe,,3,8,5,,,,,57,R,,
52,R480M80,,Oa,,8,20,12,7.5YR 2.5/1,7.5YR,2.5,1,57,R,,
52,R480M80,,E,,20,25,5,5YR 5/1,5YR,5,1,57,R,,
52,R480M80,,Bhs,,25,57,32,5YR 2.5/1,5YR,2.5,1,57,R,E pockets; cloudy,
52,R480M87.4,,,,,,0,,,,,,R,Bedrock,
52,R480M90,,Oi,,0,2,2,,,,,44,R,,
52,R480M90,,Oe,,2,7,5,,,,,44,R,,
52,R480M90,,Oa,,7,10,3,7.5YR 2.5/1,7.5YR,2.5,1,44,R,,
52,R480M90,,E,,10,44,34,5YR 6/1,5YR,6,1,44,R,Cloudy; at the watershed boundary,
52,R478M70,,Oi,,0,1.5,1.5,,,,,8,R,,
52,R478M70,,Oe,,1.5,3,1.5,,,,,8,R,,
52,R478M70,,Oa,,3,7,4,7.5YR 2.5/1,7.5YR,2.5,1,8,R,,
52,R478M70,,E,,7,8,1,5YR 5/2,"5YR
",5,2,8,R,Column equivalent of R480M90; bedrock (bottom?); cloudy weather,
52,R478M60,,Oi,,0,2,2,,,,,57,C,,
52,R478M60,,Oe,,2,4,2,,,,,57,C,,
52,R478M60,,Oa,,4,10,6,7.5YR 2.5/1,7.5YR,2.5,1,57,C,,
52,R478M60,,E,,10,13,3,7.5YR 4/1,7.5YR,4,1,57,C,,
52,R478M60,,Bhs,1,13,15,2,5YR 2.5/2,"5YR
",2.5,2,57,C,,
52,R478M60,,Bs,,15,31,16,7.5YR 4/3,7.5YR,4,3,57,C,,
52,R478M60,,Bhs,2,31,49,18,7.5YR 3/2,7.5YR,3,2,57,C,,
52,R478M60,,Bh,,49,53,4,10YR 2/2,10YR,2,2,57,C,,
52,R478M60,,C,,53,-,,2.5Y 4/4,2.5Y,4,4,57,C,Cloudy weather; wetter at ~49cm,
52,R478M50,,Oi,,0,2,2,,,,,7,R,,
52,R478M50,,Oe,,2,4,2,,,,,7,R,,
52,R478M50,,Oa,,4,7,3,7.5YR 2.5/1,7.5YR,2.5,1,7,R,,
52,R478M49,,,,,,0,,,,,,,Bare bedrock,
52,R478M40,,Oi,,0,2,2,,,,,18,R,,
52,R478M40,,Oe,,2,5,3,,,,,18,R,,
52,R478M40,,Oa,,5,18,13,7.5YR 2.5/1,7.5YR,2.5,1,18,R,Subchannel close to bedrock,
52,R478M30,,Oi,,0,2,2,,,,,61,R,,
52,R478M30,,Oe,,2,3,1,,,,,61,R,,
52,R478M30,,Oa,,3,7,4,7.5YR 2.5/1,7.5YR,2.5,1,61,R,,
52,R478M30,,Bhs,,7,50,43,7.5YR 2/1,7.5YR,2,1,61,R,,
52,R478M30,,C,,50,61,11,10YR 3/4,10YR,3,4,61,R,"Cloudy weather; soil is wet; Paradise Brook channel; clod ~30-40cm
",
52,R478M20,,Oi,,0,2.5,2.5,,,,,30,R,,
52,R478M20,,Oe,,2.5,5,2.5,,,,,30,R,,
52,R478M20,,Oa,,5,7,2,7.5YR 2.5/1,7.5YR,2.5,1,30,R,,
52,R478M20,,E/Bhs,,7,30,23,5YR 3/1,5YR,3,1,30,R,Bedrock; has character of both?,
52,R478M9.5,,Oi,,0,2,2,,,,,49,R,,
52,R478M9.5,,"Oe
",,2,3.5,1.5,,,,,49,R,,
52,R478M9.5,,Oa,,3.5,10,6.5,7.5YR 2.5/1,7.5YR,2.5,1,49,R,,
52,R478M9.5,,E,,10,18,8,5YR 4/1,5YR,4,1,49,R,,
52,R478M9.5,,Bhs,,18,45,27,7.5YR 2.5/2,"7.5YR
",2.5,2,49,R,,
52,R478M9.5,,BC,,45,49,4,10YR 3/4,10YR,3,4,49,R,Bouldery spur; patchy E; cloudy weather,
52,R478M0,,Oi,,0,2,2,,,,,74,R,,
52,R478M0,,Oe,,2,4,2,,,,,74,R,,
52,R478M0,,Oa,,4,10,6,7.5YR 2.5/1,7.5YR,2.5,1,74,R,,
52,R478M0,,Bh,1,10,35,25,10YR 2/2,10YR,2,2,74,R,,
52,R478M0,,Bh,2,35,74,39,10YR 2/1,10YR,2,1,74,R,Cloudy weather,
52,R476M0,,Oi,,0,2,2,,,,,55,RF,,
52,R476M0,,Oe,,2,5,3,,,,,55,RF,,
52,R476M0,,Oa,,5,8,3,7.5YR 2.5/1,7.5YR,2.5,1,55,RF,,
52,R476M0,,A,,8,16,8,7.5YR 2.5/1,7.5YR,2.5,1,55,RF,,
52,R476M0,,Bhs,,16,30,14,5YR 2.5/1,5YR,2.5,1,55,RF,,
52,R476M0,,Bh,1,30,40,10,10YR 3/3,10YR,3,3,55,RF,,
52,R476M0,,Bh,2,40,-,,10YR 3/2,10YR,3,2,55,RF,Sunny weather,
